RegionName,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,PRICE/SQ. FT.,POPULATION,UNEMPLOYMENT_RATE,AVERAGE_SALARY/MON,MORTALITY_RATE,NA POPULATION,NA PRICE/SQ. FT.,NA UNEMPLOYMENT_RATE,NA AVERAGE_SALARY/MON,NA MORTALITY_RATE
New Hampshire,1.106722134,1.119402985,1.125565611,1.143118607,1.101977921,1.127187079,1.125,1.142639539,1.144394084,1.124669312,1.173222912,1.125,1.129908349,1334795,2.8,70936,5,906714,1.0668,4.7,58143,6.0411
Maine,1.04519774,1.201923077,1.272727273,1.24035937,1.153039116,1.147606505,1.029192058,1.139162562,1.175548589,1.149412533,1.112347052,1.153846154,1.151696836,1331479,3.9,53079,6.9,863906,1.0668,4.7,58143,6.0411
Rhode Island,1.357142857,1.379561086,1.414928219,1.440164609,1.395,1.422219024,1.35,1.384615385,1.346153846,1.335470085,1.344511365,1.301775148,1.372628469,1056426,5.3,60596,5.5,811953,1.0668,4.7,58143,6.0411
Montana,0.921641056,0.921222945,0.926296296,0.928705441,0.958333333,0.986238532,0.945945946,0.961538462,0.956140351,0.942234848,0.932291667,0.943381953,0.943664236,1042520,4.1,50027,5.6,781394,1.0668,4.7,58143,6.0411
Delaware,0.863636364,0.873170732,0.873205084,0.875,0.86227608,0.869909055,0.857142857,0.866875493,0.872007201,0.869565217,0.857142857,0.867990042,0.867326749,952065,4.4,61757,6.5,744090,1.0668,4.7,58143,6.0411
South Dakota,0.875862069,0.885,0.899871465,0.894686768,0.900721154,0.873825721,0.849178155,0.852272727,0.864197531,0.895,0.883392226,0.85,0.877000651,865454,2.8,54467,6.2,709428,1.0668,4.7,58143,6.0411
North Dakota,0.956281314,0.961476241,0.954861111,0.948809524,0.954861111,0.952430556,0.892246562,0.878298783,0.907667323,0.870827286,0.854118404,0.859697387,0.915964633,757952,3.2,60656,5.6,678222,1.0668,4.7,58143,6.0411
Alaska,1.214285714,1.222222222,1.224005307,1.206078276,1.253944407,1.228197674,1.217822782,1.222222222,1.195252558,1.205891762,1.196666667,1.189729265,1.214693238,741894,6.6,76440,6.1,658290,1.0668,4.7,58143,6.0411
District of Columbia,2.837799106,2.883885841,2.878898033,2.905337299,2.947048611,2.974403035,2.96803653,2.87628866,2.810567927,2.820081444,2.793296089,2.743902439,2.869962085,681170,6.0,75506,7,630422,1.0668,4.7,58143,6.0411
Vermont,0.7876,0.79867,0.80768,0.7978,0.809768,0.80786,0.8054,0.81786,0.78789,0.81768,0.81869,0.81675,0.806137333,624594,3.3,57677,4.5,605048,1.0668,4.7,58143,6.0411
Wyoming,0.933308628,0.983333333,0.998995984,0.9375,0.959090909,0.935470779,0.944010417,0.989583333,0.906060606,0.952626159,0.944227431,0.932017544,0.951352094,585501,5.3,59882,5.5,585501,1.0668,4.7,58143,6.0411
